date,Site_name,Site_number,JD,CJD,MO,DAY,YR,TIME,Q_cfs,staff_gage_ft,temp_C,cond_microS,DO_mg_L,pH,psat_percent,TP_microg_L,PO4_microg_L,NH4_microg_L,NO2_microg_L,NO3_NO2_microg_L,TN_microg_L,SiO2_microg_L,TSS_mg_L,turbidity_NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2001,Sycan R @ Drews Rd,SR0070,80,80,3,21,2001,1507,68.6,NA,10.13,69,10.5,7.68,106.4,68,NA,36,NA,4,517,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2001,Sycan R @ Drews Rd,SR0070,94,94,4,4,2001,1310,78.3,NA,6.66,73,12.25,7.63,110.1,55,24,23,NA,22,491,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2001,Sycan R @ Drews Rd,SR0070,109,109,4,19,2001,1305,55.7,NA,10.15,115,10.65,7.93,105.9,61,29,22,NA,4,387,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2001,Sycan R @ Drews Rd,SR0070,137,137,5,17,2001,1340,55,NA,16.85,101,11.51,8.48,131.5,44,33,41,NA,36,340,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2001,Sycan R @ Drews Rd,SR0070,151,151,5,31,2001,NA,25.2,NA,20.33,101,10.24,8.53,129.4,56,36,3,NA,39,434,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2001,Sycan R @ Drews Rd,SR0070,165,165,6,14,2001,1335,16.2,NA,19.53,112,12.54,8.93,155.3,55,33,3,NA,4,195,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2001,Sycan R @ Drews Rd,SR0070,178,178,6,27,2001,1346,23.8,NA,13.72,119,9.73,8.16,108.1,44,35,3,NA,32,183,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2001,Sycan R @ Drews Rd,SR0070,193,193,7,12,2001,1340,23.2,NA,21.54,124,12.65,8.87,166.4,61,48,NA,NA,4,307,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2001,Sycan R @ Drews Rd,SR0070,206,206,7,25,2001,1230,18.6,NA,21.74,122,11.86,9.08,156.5,61,42,20,NA,12,207,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2001,Sycan R @ Drews Rd,SR0070,234,234,8,22,2001,1349,22,NA,19.99,116,11.24,8.78,144.1,53,49,22,NA,19,260,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
