date,mean_daily_flow_cfs
2/22/1982,4500
1/2/1997,4290
1/1/1997,3640
2/23/1982,3500
2/18/1982,3400
1/3/1997,3330
3/12/1989,3300
2/9/1996,3260
1/17/1974,3100
3/24/1993,2830
2/17/1982,2600
3/19/1993,2580
2/10/1996,2520
2/24/1982,2500
1/4/1997,2480
3/25/1993,2460
3/31/1974,2440
3/30/1974,2430
3/11/1989,2400
3/20/1993,2390
12/31/1996,2390
5/1/2006,2370
2/8/1996,2320
2/21/1982,2300
3/13/1989,2300
1/16/1974,2290
4/30/2006,2260
3/21/2017,2260
5/2/2006,2250
3/20/2017,2230
1/19/1974,2200
3/19/1974,2170
3/21/1993,2060
5/3/2006,2060
3/22/2017,2030
2/25/1982,2000
4/12/1982,2000
3/23/1993,1980
4/29/2006,1980
3/18/1974,1960
4/13/1982,1930
4/6/1985,1930
4/19/1999,1920
3/31/1983,1910
3/26/1993,1910
4/14/2006,1910
1/18/1974,1900
2/19/1982,1900
3/14/1989,1900
3/19/2017,1890
4/20/1999,1880
4/5/1985,1870
3/23/2017,1860
3/22/1993,1850
1/5/1997,1850
4/15/2006,1840
5/4/2006,1840
2/26/1982,1820
2/11/1996,1800
4/7/1985,1780
4/18/1999,1780
4/28/2006,1780
3/9/1986,1760
4/13/2006,1740
4/1/1974,1720
4/9/2019,1710
4/21/1999,1690
3/18/2017,1690
4/9/2006,1680
4/8/2006,1670
4/27/2006,1670
3/20/1974,1660
4/1/1983,1650
4/8/1985,1650
3/10/1986,1650
3/24/2017,1650
3/14/1983,1630
2/19/1986,1630
4/10/2006,1630
4/11/2006,1590
4/12/2006,1590
3/17/2017,1590
4/16/2006,1580
4/26/2006,1580
12/20/1981,1570
3/8/1986,1560
4/3/2019,1550
4/2/1974,1530
4/14/1982,1530
3/16/2017,1530
4/23/2006,1520
4/25/2006,1520
2/5/2006,1510
4/10/2019,1510
1/20/1974,1500
5/2/1975,1500
12/15/1977,1500
3/13/1983,1500
5/29/1983,1500
5/30/1983,1500
5/31/1983,1500
3/18/1993,1500
1/6/1997,1500
4/17/2006,1500
4/24/2006,1500
5/3/1975,1490
2/27/1982,1480
4/3/1974,1460
2/20/1986,1460
3/27/1993,1460
4/22/2006,1460
5/4/1975,1450
5/28/1983,1450
6/1/1983,1450
4/17/1999,1440
1/14/1980,1430
4/4/2019,1430
3/11/1986,1420
2/1/1995,1420
3/21/1984,1410
5/11/1998,1410
2/20/1982,1400
5/5/1983,1400
5/6/1983,1400
5/10/1998,1400
3/25/2017,1400
3/14/1984,1390
4/4/1985,1390
4/22/1999,1390
5/1/1975,1380
4/9/1985,1380
4/18/2006,1380
4/11/2019,1380
4/5/1974,1360
4/23/1983,1350
4/24/1983,1350
6/2/1983,1350
4/6/1974,1340
5/5/2006,1330
2/28/1982,1320
4/7/2006,1320
5/12/1998,1310
4/24/1999,1310
4/21/2006,1310
12/21/1981,1300
4/2/1983,1300
5/4/1983,1300
5/7/1983,1300
5/27/1983,1300
3/15/1984,1300
2/12/1996,1300
3/21/1974,1290
3/2/1982,1290
4/25/1999,1290
4/4/1974,1280
2/24/1986,1280
4/5/2006,1280
3/15/2017,1280
3/27/2017,1280
4/6/2006,1260
5/6/2006,1260
4/2/2019,1260
4/22/1983,1250
4/23/1999,1250
3/1/1982,1240
3/26/2017,1240
4/8/1978,1230
3/30/1983,1230
4/19/2006,1230
4/20/2006,1230
2/21/1996,1220
4/16/1999,1220
5/7/2006,1220
4/8/2019,1220
4/25/1975,1210
2/25/1986,1210
3/28/1993,1210
5/9/1998,1210
3/14/2017,1210
4/25/1983,1200
5/1/1983,1200
5/2/1983,1200
5/3/1983,1200
6/3/1983,1200
3/22/1984,1200
3/12/1986,1200
12/30/1996,1200
1/7/1997,1200
3/24/1998,1200
3/15/1983,1190
5/13/1998,1190
4/19/2000,1190
5/8/2006,1190
5/10/2006,1190
4/5/2019,1190
4/30/1975,1180
5/5/1975,1180
4/9/1978,1180
3/3/1982,1180
3/10/1989,1180
4/26/1999,1180
5/9/2006,1180
2/18/2017,1170
4/15/1982,1160
4/5/1993,1160
2/20/1996,1160
5/11/2006,1160
3/13/2017,1160
3/22/1974,1150
3/11/1983,1150
5/26/1983,1150
5/14/1984,1150
5/15/1984,1150
3/28/2017,1150
4/2/1978,1140
3/23/1984,1140
4/10/1985,1140
4/20/2000,1140
4/3/1978,1130
2/16/1982,1130
3/12/1983,1130
4/7/1974,1120
4/7/1978,1120
5/5/1982,1120
3/20/1984,1120
2/23/1986,1120
4/4/2006,1120
4/14/2008,1120
5/6/1982,1110
2/2/1995,1110
2/11/2017,1110
3/12/2017,1110
4/12/2019,1110
4/26/1983,1100
5/8/1983,1100
3/24/1984,1100
5/12/2006,1100
4/6/2019,1100
3/9/1978,1090
1/15/1980,1090
3/16/1984,1090
2/18/1986,1090
3/13/1986,1090
2/19/1996,1090
2/22/1996,1090
2/4/2006,1090
5/10/1974,1080
4/24/1975,1080
5/7/1982,1080
3/29/1993,1080
2/1/1997,1080
4/27/1999,1080
3/30/2017,1080
5/11/1974,1070
5/9/1982,1070
4/1/2019,1070
11/13/1973,1060
1/13/1980,1060
5/4/1982,1060
5/10/1982,1060
5/16/1984,1060
2/21/1986,1060
2/13/1996,1060
5/13/2006,1060
5/14/2006,1060
3/31/2017,1060
1/15/1978,1050
4/4/1978,1050
5/8/1982,1050
3/10/1983,1050
6/4/1983,1050
3/13/1984,1050
2/26/1986,1050
5/14/1998,1050
4/7/2019,1050
5/13/1984,1040
4/4/1993,1040
3/13/2007,1040
3/11/2017,1040
3/23/1974,1030
5/9/1974,1030
1/8/1997,1030
5/15/2006,1030
4/1/2017,1030
5/3/1982,1020
4/6/1993,1020
5/8/1998,1020
4/15/1999,1020
4/21/2000,1020
2/17/2017,1020
3/29/2017,1020
4/17/1982,1010
4/3/1983,1010
3/23/1998,1010
4/29/1975,1000
4/21/1983,1000
4/30/1983,1000
5/9/1983,1000
5/25/1983,1000
4/8/1984,1000
5/16/2006,1000
3/31/2019,1000
4/16/1982,999
5/2/1982,999
3/25/1998,999
5/4/1999,999
3/14/2016,998
5/3/1999,997
3/26/1984,993
3/28/1999,992
4/1/1978,990
3/27/1999,989
5/1/1982,988
4/24/1997,988
3/14/2007,987
2/19/2017,987
5/21/1975,986
1/31/1995,985
4/9/1995,984
5/17/2006,983
5/8/1974,982
4/28/1999,980
2/12/2017,979
5/12/1974,978
4/11/1985,977
5/18/1998,977
3/31/2012,976
4/8/1974,975
3/4/1982,975
2/2/1997,975
1/18/2011,974
3/25/1984,972
4/1/2011,972
5/27/1999,970
4/30/1982,968
5/11/1982,968
3/22/1989,968
4/23/1997,966
4/22/1989,965
5/17/1998,965
4/26/1975,962
5/18/2006,962
4/2/2017,961
5/26/1999,960
2/22/2017,959
5/28/1999,958
3/30/1993,957
5/29/1999,957
5/20/1975,955
3/27/1984,954
1/9/1997,954
2/21/2017,953
5/18/1975,952
2/27/1986,951
5/19/2006,951
3/24/1974,950
4/27/1983,950
4/16/1984,950
4/5/1978,948
2/18/1996,947
5/30/1999,946
4/28/2019,946
4/15/2008,945
5/17/1975,944
5/19/1998,941
4/9/1984,940
5/7/1998,937
5/15/1998,936
5/13/1974,933
4/23/1989,933
3/14/1986,931
3/29/1999,931
12/29/2005,931
5/19/1975,930
4/6/1978,930
4/13/2019,930
5/20/2006,928
4/29/2019,928
3/10/1978,927
5/2/1999,927
11/12/1973,926
5/25/1999,926
5/1/1999,925
4/8/1995,924
4/14/2017,922
5/6/1975,920
5/8/1975,920
1/16/1978,920
4/10/1978,920
4/17/1984,920
4/29/1999,919
4/30/1999,918
2/13/2017,918
2/7/1996,917
4/18/2000,917
5/7/1974,916
3/26/1998,915
3/15/2016,915
3/25/1974,912
2/24/1983,912
2/25/1983,912
5/17/1984,912
3/10/1996,912
4/25/1997,912
5/31/1999,912
2/14/1996,911
5/21/2006,910
4/30/2019,909
5/10/1975,906
12/19/1981,906
4/29/1982,906
5/16/1998,903
3/26/1999,901
12/22/1981,900
5/10/1983,900
6/5/1983,900
3/15/1989,900
3/16/1983,898
3/23/1989,898
1/19/2011,898
4/28/1975,896
5/19/1982,893
5/16/1975,892
4/1/1993,892
3/11/1996,892
4/12/1985,889
5/19/1996,889
5/9/1975,888
5/30/1998,886
5/7/1975,885
5/24/1999,885
4/2/2011,883
5/24/1983,880
4/18/1984,880
5/19/2005,880
5/5/1999,879
5/18/2011,879
5/12/1984,877
5/22/2006,877
4/27/2019,877
2/22/1986,875
5/17/2011,875
5/5/1993,874
4/13/2017,874
5/20/1996,873
4/22/1997,873
5/29/1998,873
4/22/2000,873
5/20/1982,872
